iid;wave;pid;gender;race;race_o;imp_same_race;imp_same_religion;imp_attr;imp_sinc;imp_intel;imp_fun;imp_amb;imp_shared_interests;self_attr;self_sinc;self_fun;self_intel;self_amb;age_o;age;pf_o_att;pf_o_sin;pf_o_int;pf_o_fun;pf_o_amb;pf_o_sha;sports;tvsports;exercise;dining;museums;art;hiking;gaming;clubbing;reading;tv;theater;movies;concerts;music;shopping;yoga;dec;dec_o;match
1;1;11;female;Asian/Pacific Islander/Asian-American;European/Caucasian-American;2;4;15.00;20.00;20.00;15.00;15.00;15.00;6;8;8;8;7;27;21;35.00;20.00;20.00;20.00;0.00;5.00;9;2;8;9;1;1;5;1;5;6;9;1;10;10;9;8;1;1;0;0
1;1;12;female;Asian/Pacific Islander/Asian-American;European/Caucasian-American;2;4;15.00;20.00;20.00;15.00;15.00;15.00;6;8;8;8;7;22;21;60.00;0.00;0.00;40.00;0.00;0.00;9;2;8;9;1;1;5;1;5;6;9;1;10;10;9;8;1;1;0;0
1;1;13;female;Asian/Pacific Islander/Asian-American;Asian/Pacific Islander/Asian-American;2;4;15.00;20.00;20.00;15.00;15.00;15.00;6;8;8;8;7;22;21;19.00;18.00;19.00;18.00;14.00;12.00;9;2;8;9;1;1;5;1;5;6;9;1;10;10;9;8;1;1;1;1
1;1;14;female;Asian/Pacific Islander/Asian-American;European/Caucasian-American;2;4;15.00;20.00;20.00;15.00;15.00;15.00;6;8;8;8;7;23;21;30.00;5.00;15.00;40.00;5.00;5.00;9;2;8;9;1;1;5;1;5;6;9;1;10;10;9;8;1;1;1;1
1;1;15;female;Asian/Pacific Islander/Asian-American;Latino/Hispanic American;2;4;15.00;20.00;20.00;15.00;15.00;15.00;6;8;8;8;7;24;21;30.00;10.00;20.00;10.00;10.00;20.00;9;2;8;9;1;1;5;1;5;6;9;1;10;10;9;8;1;1;1;1
1;1;16;female;Asian/Pacific Islander/Asian-American;European/Caucasian-American;2;4;15.00;20.00;20.00;15.00;15.00;15.00;6;8;8;8;7;25;21;50.00;0.00;30.00;10.00;0.00;10.00;9;2;8;9;1;1;5;1;5;6;9;1;10;10;9;8;1;0;1;0
1;1;17;female;Asian/Pacific Islander/Asian-American;European/Caucasian-American;2;4;15.00;20.00;20.00;15.00;15.00;15.00;6;8;8;8;7;30;21;35.00;15.00;25.00;10.00;5.00;10.00;9;2;8;9;1;1;5;1;5;6;9;1;10;10;9;8;1;1;0;0
1;1;18;female;Asian/Pacific Islander/Asian-American;European/Caucasian-American;2;4;15.00;20.00;20.00;15.00;15.00;15.00;6;8;8;8;7;27;21;33.33;11.11;11.11;11.11;11.11;22.22;9;2;8;9;1;1;5;1;5;6;9;1;10;10;9;8;1;0;0;0
1;1;19;female;Asian/Pacific Islander/Asian-American;European/Caucasian-American;2;4;15.00;20.00;20.00;15.00;15.00;15.00;6;8;8;8;7;28;21;50.00;0.00;25.00;10.00;0.00;15.00;9;2;8;9;1;1;5;1;5;6;9;1;10;10;9;8;1;1;1;1
1;1;20;female;Asian/Pacific Islander/Asian-American;European/Caucasian-American;2;4;15.00;20.00;20.00;15.00;15.00;15.00;6;8;8;8;7;24;21;100.00;0.00;0.00;0.00;0.00;0.00;9;2;8;9;1;1;5;1;5;6;9;1;10;10;9;8;1;1;0;0
2;1;11;female;European/Caucasian-American;European/Caucasian-American;2;5;45.00;5.00;25.00;20.00;0.00;5.00;7;5;10;8;3;27;24;35.00;20.00;20.00;20.00;0.00;5.00;3;2;7;10;8;6;3;5;8;10;1;9;8;7;8;3;1;0;0;0
2;1;12;female;European/Caucasian-American;European/Caucasian-American;2;5;45.00;5.00;25.00;20.00;0.00;5.00;7;5;10;8;3;22;24;60.00;0.00;0.00;40.00;0.00;0.00;3;2;7;10;8;6;3;5;8;10;1;9;8;7;8;3;1;0;0;0
2;1;13;female;European/Caucasian-American;Asian/Pacific Islander/Asian-American;2;5;45.00;5.00;25.00;20.00;0.00;5.00;7;5;10;8;3;22;24;19.00;18.00;19.00;18.00;14.00;12.00;3;2;7;10;8;6;3;5;8;10;1;9;8;7;8;3;1;0;1;0
2;1;14;female;European/Caucasian-American;European/Caucasian-American;2;5;45.00;5.00;25.00;20.00;0.00;5.00;7;5;10;8;3;23;24;30.00;5.00;15.00;40.00;5.00;5.00;3;2;7;10;8;6;3;5;8;10;1;9;8;7;8;3;1;1;1;1
2;1;15;female;European/Caucasian-American;Latino/Hispanic American;2;5;45.00;5.00;25.00;20.00;0.00;5.00;7;5;10;8;3;24;24;30.00;10.00;20.00;10.00;10.00;20.00;3;2;7;10;8;6;3;5;8;10;1;9;8;7;8;3;1;0;1;0
2;1;16;female;European/Caucasian-American;European/Caucasian-American;2;5;45.00;5.00;25.00;20.00;0.00;5.00;7;5;10;8;3;25;24;50.00;0.00;30.00;10.00;0.00;10.00;3;2;7;10;8;6;3;5;8;10;1;9;8;7;8;3;1;0;1;0
2;1;17;female;European/Caucasian-American;European/Caucasian-American;2;5;45.00;5.00;25.00;20.00;0.00;5.00;7;5;10;8;3;30;24;35.00;15.00;25.00;10.00;5.00;10.00;3;2;7;10;8;6;3;5;8;10;1;9;8;7;8;3;1;1;0;0
2;1;18;female;European/Caucasian-American;European/Caucasian-American;2;5;45.00;5.00;25.00;20.00;0.00;5.00;7;5;10;8;3;27;24;33.33;11.11;11.11;11.11;11.11;22.22;3;2;7;10;8;6;3;5;8;10;1;9;8;7;8;3;1;0;1;0
2;1;19;female;European/Caucasian-American;European/Caucasian-American;2;5;45.00;5.00;25.00;20.00;0.00;5.00;7;5;10;8;3;28;24;50.00;0.00;25.00;10.00;0.00;15.00;3;2;7;10;8;6;3;5;8;10;1;9;8;7;8;3;1;1;1;1
2;1;20;female;European/Caucasian-American;European/Caucasian-American;2;5;45.00;5.00;25.00;20.00;0.00;5.00;7;5;10;8;3;24;24;100.00;0.00;0.00;0.00;0.00;0.00;3;2;7;10;8;6;3;5;8;10;1;9;8;7;8;3;1;1;0;0
3;1;11;female;European/Caucasian-American;European/Caucasian-American;8;4;35.00;10.00;35.00;10.00;10.00;0.00;8;9;8;9;8;27;25;35.00;20.00;20.00;20.00;0.00;5.00;3;8;7;8;5;5;8;4;5;7;8;7;7;7;5;8;7;0;0;0
3;1;12;female;European/Caucasian-American;European/Caucasian-American;8;4;35.00;10.00;35.00;10.00;10.00;0.00;8;9;8;9;8;22;25;60.00;0.00;0.00;40.00;0.00;0.00;3;8;7;8;5;5;8;4;5;7;8;7;7;7;5;8;7;0;0;0
3;1;13;female;European/Caucasian-American;Asian/Pacific Islander/Asian-American;8;4;35.00;10.00;35.00;10.00;10.00;0.00;8;9;8;9;8;22;25;19.00;18.00;19.00;18.00;14.00;12.00;3;8;7;8;5;5;8;4;5;7;8;7;7;7;5;8;7;0;1;0
3;1;14;female;European/Caucasian-American;European/Caucasian-American;8;4;35.00;10.00;35.00;10.00;10.00;0.00;8;9;8;9;8;23;25;30.00;5.00;15.00;40.00;5.00;5.00;3;8;7;8;5;5;8;4;5;7;8;7;7;7;5;8;7;0;1;0
3;1;15;female;European/Caucasian-American;Latino/Hispanic American;8;4;35.00;10.00;35.00;10.00;10.00;0.00;8;9;8;9;8;24;25;30.00;10.00;20.00;10.00;10.00;20.00;3;8;7;8;5;5;8;4;5;7;8;7;7;7;5;8;7;0;1;0
3;1;16;female;European/Caucasian-American;European/Caucasian-American;8;4;35.00;10.00;35.00;10.00;10.00;0.00;8;9;8;9;8;25;25;50.00;0.00;30.00;10.00;0.00;10.00;3;8;7;8;5;5;8;4;5;7;8;7;7;7;5;8;7;0;1;0
3;1;17;female;European/Caucasian-American;European/Caucasian-American;8;4;35.00;10.00;35.00;10.00;10.00;0.00;8;9;8;9;8;30;25;35.00;15.00;25.00;10.00;5.00;10.00;3;8;7;8;5;5;8;4;5;7;8;7;7;7;5;8;7;0;0;0
3;1;18;female;European/Caucasian-American;European/Caucasian-American;8;4;35.00;10.00;35.00;10.00;10.00;0.00;8;9;8;9;8;27;25;33.33;11.11;11.11;11.11;11.11;22.22;3;8;7;8;5;5;8;4;5;7;8;7;7;7;5;8;7;0;0;0
3;1;19;female;European/Caucasian-American;European/Caucasian-American;8;4;35.00;10.00;35.00;10.00;10.00;0.00;8;9;8;9;8;28;25;50.00;0.00;25.00;10.00;0.00;15.00;3;8;7;8;5;5;8;4;5;7;8;7;7;7;5;8;7;0;1;0
