iid,pid,wave,gender,age,age_o,race,race_o,same_race,imp_same_race,imp_same_rel,field,goal,go_date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,int_corr,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,pf_att,pf_sin,pf_int,pf_fun,pf_amb,pf_sha,attr,sinc,fun,int,amb,exp_happy,like,dec,match
1,11,1,Female,21,27,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,Law,To meet new people,Almost never,Several times a week,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.14,35,20,20,20,0,5,15,20,20,15,15,15,6,8,8,8,7,3,7,1,0
1,12,1,Female,21,22,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,Law,To meet new people,Almost never,Several times a week,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.54,60,0,0,40,0,0,15,20,20,15,15,15,6,8,8,8,7,3,7,1,0
1,13,1,Female,21,22,Asian/Pacific Islander/Asian-American,Asian/Pacific Islander/Asian-American,1,2,4,Law,To meet new people,Almost never,Several times a week,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.16,19,18,19,18,14,12,15,20,20,15,15,15,6,8,8,8,7,3,7,1,1
1,14,1,Female,21,23,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,Law,To meet new people,Almost never,Several times a week,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.61,30,5,15,40,5,5,15,20,20,15,15,15,6,8,8,8,7,3,7,1,1
1,15,1,Female,21,24,Asian/Pacific Islander/Asian-American,Latino/Hispanic American,0,2,4,Law,To meet new people,Almost never,Several times a week,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.21,30,10,20,10,10,20,15,20,20,15,15,15,6,8,8,8,7,3,6,1,1
1,16,1,Female,21,25,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,Law,To meet new people,Almost never,Several times a week,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.25,50,0,30,10,0,10,15,20,20,15,15,15,6,8,8,8,7,3,6,0,0
1,17,1,Female,21,30,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,Law,To meet new people,Almost never,Several times a week,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.34,35,15,25,10,5,10,15,20,20,15,15,15,6,8,8,8,7,3,6,1,0
1,18,1,Female,21,27,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,Law,To meet new people,Almost never,Several times a week,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.5,33.33,11.11,11.11,11.11,11.11,22.22,15,20,20,15,15,15,6,8,8,8,7,3,6,0,0
1,19,1,Female,21,28,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,Law,To meet new people,Almost never,Several times a week,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.28,50,0,25,10,0,15,15,20,20,15,15,15,6,8,8,8,7,3,7,1,1
1,20,1,Female,21,24,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,Law,To meet new people,Almost never,Several times a week,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,-0.36,100,0,0,0,0,0,15,20,20,15,15,15,6,8,8,8,7,3,6,1,0
2,11,1,Female,24,27,European/Caucasian-American,European/Caucasian-American,1,2,5,Law,Seemed like a fun night out,Once a month,Several times a week,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.29,35,20,20,20,0,5,45,5,25,20,0,5,7,5,10,8,3,4,6,0,0
2,12,1,Female,24,22,European/Caucasian-American,European/Caucasian-American,1,2,5,Law,Seemed like a fun night out,Once a month,Several times a week,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.18,60,0,0,40,0,0,45,5,25,20,0,5,7,5,10,8,3,4,7,0,0
2,13,1,Female,24,22,European/Caucasian-American,Asian/Pacific Islander/Asian-American,0,2,5,Law,Seemed like a fun night out,Once a month,Several times a week,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.1,19,18,19,18,14,12,45,5,25,20,0,5,7,5,10,8,3,4,6,0,0
2,14,1,Female,24,23,European/Caucasian-American,European/Caucasian-American,1,2,5,Law,Seemed like a fun night out,Once a month,Several times a week,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,-0.21,30,5,15,40,5,5,45,5,25,20,0,5,7,5,10,8,3,4,7,1,1
2,15,1,Female,24,24,European/Caucasian-American,Latino/Hispanic American,0,2,5,Law,Seemed like a fun night out,Once a month,Several times a week,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.32,30,10,20,10,10,20,45,5,25,20,0,5,7,5,10,8,3,4,8,0,0
2,16,1,Female,24,25,European/Caucasian-American,European/Caucasian-American,1,2,5,Law,Seemed like a fun night out,Once a month,Several times a week,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.73,50,0,30,10,0,10,45,5,25,20,0,5,7,5,10,8,3,4,6,0,0
2,17,1,Female,24,30,European/Caucasian-American,European/Caucasian-American,1,2,5,Law,Seemed like a fun night out,Once a month,Several times a week,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.6,35,15,25,10,5,10,45,5,25,20,0,5,7,5,10,8,3,4,8,1,0
2,18,1,Female,24,27,European/Caucasian-American,European/Caucasian-American,1,2,5,Law,Seemed like a fun night out,Once a month,Several times a week,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.07,33.33,11.11,11.11,11.11,11.11,22.22,45,5,25,20,0,5,7,5,10,8,3,4,5,0,0
2,19,1,Female,24,28,European/Caucasian-American,European/Caucasian-American,1,2,5,Law,Seemed like a fun night out,Once a month,Several times a week,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.11,50,0,25,10,0,15,45,5,25,20,0,5,7,5,10,8,3,4,5,1,1
2,20,1,Female,24,24,European/Caucasian-American,European/Caucasian-American,1,2,5,Law,Seemed like a fun night out,Once a month,Several times a week,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.39,100,0,0,0,0,0,45,5,25,20,0,5,7,5,10,8,3,4,8,1,0
3,11,1,Female,25,27,European/Caucasian-American,European/Caucasian-American,1,8,4,Economics,Other,Once a week,Several times a week,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.24,35,20,20,20,0,5,35,10,35,10,10,0,8,9,8,9,8,4,8,0,0
3,12,1,Female,25,22,European/Caucasian-American,European/Caucasian-American,1,8,4,Economics,Other,Once a week,Several times a week,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.14,60,0,0,40,0,0,35,10,35,10,10,0,8,9,8,9,8,4,8,0,0
3,13,1,Female,25,22,European/Caucasian-American,Asian/Pacific Islander/Asian-American,0,8,4,Economics,Other,Once a week,Several times a week,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,0.09,19,18,19,18,14,12,35,10,35,10,10,0,8,9,8,9,8,4,8,0,0
3,14,1,Female,25,23,European/Caucasian-American,European/Caucasian-American,1,8,4,Economics,Other,Once a week,Several times a week,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.04,30,5,15,40,5,5,35,10,35,10,10,0,8,9,8,9,8,4,8,0,0
3,15,1,Female,25,24,European/Caucasian-American,Latino/Hispanic American,0,8,4,Economics,Other,Once a week,Several times a week,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.14,30,10,20,10,10,20,35,10,35,10,10,0,8,9,8,9,8,4,9,0,0
3,16,1,Female,25,25,European/Caucasian-American,European/Caucasian-American,1,8,4,Economics,Other,Once a week,Several times a week,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.3,50,0,30,10,0,10,35,10,35,10,10,0,8,9,8,9,8,4,8,0,0
