iid,pid,wave,gender,age,age_o,race,race_o,same_race,same_religion,imp_same_race,imp_same_rel,field,goal,go_date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,int_corr,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,pf_att,pf_sin,pf_int,pf_fun,pf_amb,pf_sha,attr,sinc,fun,int,amb,exp_happy,like,dec,match
1,11.0,1,Female,21.0,27.0,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,0.15239999999999998,2.0,4.0,Law,To meet new people,Almost never,Several times a week,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,0.14,35.0,20.0,20.0,20.0,0.0,5.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,3.0,7.0,1,0
1,12.0,1,Female,21.0,22.0,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,0.15239999999999998,2.0,4.0,Law,To meet new people,Almost never,Several times a week,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,0.54,60.0,0.0,0.0,40.0,0.0,0.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,3.0,7.0,1,0
1,13.0,1,Female,21.0,22.0,Asian/Pacific Islander/Asian-American,Asian/Pacific Islander/Asian-American,1,0.17410000000000003,2.0,4.0,Law,To meet new people,Almost never,Several times a week,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,0.16,19.0,18.0,19.0,18.0,14.0,12.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,3.0,7.0,1,1
1,14.0,1,Female,21.0,23.0,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,0.15239999999999998,2.0,4.0,Law,To meet new people,Almost never,Several times a week,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,0.61,30.0,5.0,15.0,40.0,5.0,5.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,3.0,7.0,1,1
1,15.0,1,Female,21.0,24.0,Asian/Pacific Islander/Asian-American,Latino/Hispanic American,0,0.17100000000000004,2.0,4.0,Law,To meet new people,Almost never,Several times a week,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,0.21,30.0,10.0,20.0,10.0,10.0,20.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,3.0,6.0,1,1
1,16.0,1,Female,21.0,25.0,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,0.15239999999999998,2.0,4.0,Law,To meet new people,Almost never,Several times a week,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,0.25,50.0,0.0,30.0,10.0,0.0,10.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,3.0,6.0,0,0
1,17.0,1,Female,21.0,30.0,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,0.15239999999999998,2.0,4.0,Law,To meet new people,Almost never,Several times a week,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,0.34,35.0,15.0,25.0,10.0,5.0,10.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,3.0,6.0,1,0
1,18.0,1,Female,21.0,27.0,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,0.15239999999999998,2.0,4.0,Law,To meet new people,Almost never,Several times a week,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,0.5,33.33,11.11,11.11,11.11,11.11,22.22,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,3.0,6.0,0,0
1,19.0,1,Female,21.0,28.0,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,0.15239999999999998,2.0,4.0,Law,To meet new people,Almost never,Several times a week,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,0.28,50.0,0.0,25.0,10.0,0.0,15.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,3.0,7.0,1,1
1,20.0,1,Female,21.0,24.0,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,0.15239999999999998,2.0,4.0,Law,To meet new people,Almost never,Several times a week,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,-0.36,100.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,3.0,6.0,1,0
2,11.0,1,Female,24.0,27.0,European/Caucasian-American,European/Caucasian-American,1,0.21649999999999997,2.0,5.0,Law,Seemed like a fun night out,Once a month,Several times a week,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,0.29,35.0,20.0,20.0,20.0,0.0,5.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,4.0,6.0,0,0
2,12.0,1,Female,24.0,22.0,European/Caucasian-American,European/Caucasian-American,1,0.21649999999999997,2.0,5.0,Law,Seemed like a fun night out,Once a month,Several times a week,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,0.18,60.0,0.0,0.0,40.0,0.0,0.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,4.0,7.0,0,0
2,13.0,1,Female,24.0,22.0,European/Caucasian-American,Asian/Pacific Islander/Asian-American,0,0.15239999999999998,2.0,5.0,Law,Seemed like a fun night out,Once a month,Several times a week,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,0.1,19.0,18.0,19.0,18.0,14.0,12.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,4.0,6.0,0,0
2,14.0,1,Female,24.0,23.0,European/Caucasian-American,European/Caucasian-American,1,0.21649999999999997,2.0,5.0,Law,Seemed like a fun night out,Once a month,Several times a week,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,-0.21,30.0,5.0,15.0,40.0,5.0,5.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,4.0,7.0,1,1
2,15.0,1,Female,24.0,24.0,European/Caucasian-American,Latino/Hispanic American,0,0.20549999999999996,2.0,5.0,Law,Seemed like a fun night out,Once a month,Several times a week,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,0.32,30.0,10.0,20.0,10.0,10.0,20.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,4.0,8.0,0,0
2,16.0,1,Female,24.0,25.0,European/Caucasian-American,European/Caucasian-American,1,0.21649999999999997,2.0,5.0,Law,Seemed like a fun night out,Once a month,Several times a week,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,0.73,50.0,0.0,30.0,10.0,0.0,10.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,4.0,6.0,0,0
2,17.0,1,Female,24.0,30.0,European/Caucasian-American,European/Caucasian-American,1,0.21649999999999997,2.0,5.0,Law,Seemed like a fun night out,Once a month,Several times a week,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,0.6,35.0,15.0,25.0,10.0,5.0,10.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,4.0,8.0,1,0
2,18.0,1,Female,24.0,27.0,European/Caucasian-American,European/Caucasian-American,1,0.21649999999999997,2.0,5.0,Law,Seemed like a fun night out,Once a month,Several times a week,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,0.07,33.33,11.11,11.11,11.11,11.11,22.22,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,4.0,5.0,0,0
2,19.0,1,Female,24.0,28.0,European/Caucasian-American,European/Caucasian-American,1,0.21649999999999997,2.0,5.0,Law,Seemed like a fun night out,Once a month,Several times a week,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,0.11,50.0,0.0,25.0,10.0,0.0,15.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,4.0,5.0,1,1
2,20.0,1,Female,24.0,24.0,European/Caucasian-American,European/Caucasian-American,1,0.21649999999999997,2.0,5.0,Law,Seemed like a fun night out,Once a month,Several times a week,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,0.39,100.0,0.0,0.0,0.0,0.0,0.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,4.0,8.0,1,0
3,11.0,1,Female,25.0,27.0,European/Caucasian-American,European/Caucasian-American,1,0.21649999999999997,8.0,4.0,Economics,Other,Once a week,Several times a week,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,-0.24,35.0,20.0,20.0,20.0,0.0,5.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,4.0,8.0,0,0
3,12.0,1,Female,25.0,22.0,European/Caucasian-American,European/Caucasian-American,1,0.21649999999999997,8.0,4.0,Economics,Other,Once a week,Several times a week,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,-0.14,60.0,0.0,0.0,40.0,0.0,0.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,4.0,8.0,0,0
3,13.0,1,Female,25.0,22.0,European/Caucasian-American,Asian/Pacific Islander/Asian-American,0,0.15239999999999998,8.0,4.0,Economics,Other,Once a week,Several times a week,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,0.09,19.0,18.0,19.0,18.0,14.0,12.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,4.0,8.0,0,0
3,14.0,1,Female,25.0,23.0,European/Caucasian-American,European/Caucasian-American,1,0.21649999999999997,8.0,4.0,Economics,Other,Once a week,Several times a week,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,-0.04,30.0,5.0,15.0,40.0,5.0,5.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,4.0,8.0,0,0
3,15.0,1,Female,25.0,24.0,European/Caucasian-American,Latino/Hispanic American,0,0.20549999999999996,8.0,4.0,Economics,Other,Once a week,Several times a week,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,-0.14,30.0,10.0,20.0,10.0,10.0,20.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,4.0,9.0,0,0
3,16.0,1,Female,25.0,25.0,European/Caucasian-American,European/Caucasian-American,1,0.21649999999999997,8.0,4.0,Economics,Other,Once a week,Several times a week,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,-0.3,50.0,0.0,30.0,10.0,0.0,10.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,4.0,8.0,0,0
3,17.0,1,Female,25.0,30.0,European/Caucasian-American,European/Caucasian-American,1,0.21649999999999997,8.0,4.0,Economics,Other,Once a week,Several times a week,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,-0.26,35.0,15.0,25.0,10.0,5.0,10.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,4.0,8.0,0,0
3,18.0,1,Female,25.0,27.0,European/Caucasian-American,European/Caucasian-American,1,0.21649999999999997,8.0,4.0,Economics,Other,Once a week,Several times a week,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,0.29,33.33,11.11,11.11,11.11,11.11,22.22,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,4.0,8.0,0,0
3,19.0,1,Female,25.0,28.0,European/Caucasian-American,European/Caucasian-American,1,0.21649999999999997,8.0,4.0,Economics,Other,Once a week,Several times a week,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,-0.15,50.0,0.0,25.0,10.0,0.0,15.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,4.0,9.0,0,0
3,20.0,1,Female,25.0,24.0,European/Caucasian-American,European/Caucasian-American,1,0.21649999999999997,8.0,4.0,Economics,Other,Once a week,Several times a week,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,-0.47,100.0,0.0,0.0,0.0,0.0,0.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,4.0,8.0,0,0
4,11.0,1,Female,23.0,27.0,European/Caucasian-American,European/Caucasian-American,1,0.21649999999999997,1.0,1.0,Law,Seemed like a fun night out,Once a month,Several times a week,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,-0.18,35.0,20.0,20.0,20.0,0.0,5.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,1.0,6.0,0,0
4,12.0,1,Female,23.0,22.0,European/Caucasian-American,European/Caucasian-American,1,0.21649999999999997,1.0,1.0,Law,Seemed like a fun night out,Once a month,Several times a week,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,-0.18,60.0,0.0,0.0,40.0,0.0,0.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,1.0,8.0,0,0
4,13.0,1,Female,23.0,22.0,European/Caucasian-American,Asian/Pacific Islander/Asian-American,0,0.15239999999999998,1.0,1.0,Law,Seemed like a fun night out,Once a month,Several times a week,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0.05,19.0,18.0,19.0,18.0,14.0,12.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,1.0,4.0,0,0
4,14.0,1,Female,23.0,23.0,European/Caucasian-American,European/Caucasian-American,1,0.21649999999999997,1.0,1.0,Law,Seemed like a fun night out,Once a month,Several times a week,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,-0.18,30.0,5.0,15.0,40.0,5.0,5.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,1.0,8.0,1,1
4,15.0,1,Female,23.0,24.0,European/Caucasian-American,Latino/Hispanic American,0,0.20549999999999996,1.0,1.0,Law,Seemed like a fun night out,Once a month,Several times a week,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0.21,30.0,10.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,1.0,7.0,0,0
4,16.0,1,Female,23.0,25.0,European/Caucasian-American,European/Caucasian-American,1,0.21649999999999997,1.0,1.0,Law,Seemed like a fun night out,Once a month,Several times a week,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0.37,50.0,0.0,30.0,10.0,0.0,10.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,1.0,4.0,0,0
4,17.0,1,Female,23.0,30.0,European/Caucasian-American,European/Caucasian-American,1,0.21649999999999997,1.0,1.0,Law,Seemed like a fun night out,Once a month,Several times a week,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0.35,35.0,15.0,25.0,10.0,5.0,10.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,1.0,5.0,0,0
4,18.0,1,Female,23.0,27.0,European/Caucasian-American,European/Caucasian-American,1,0.21649999999999997,1.0,1.0,Law,Seemed like a fun night out,Once a month,Several times a week,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0.15,33.33,11.11,11.11,11.11,11.11,22.22,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,1.0,6.0,0,0
